temp,time_point,rep,clone,infect
37,1,6,7,1
37,1,6,6,1
37,1,6,5,1
37,1,6,4,1
37,1,6,3,1
37,1,6,2,1
37,1,6,1,1
15,2,1,12,0
15,2,1,11,0
15,2,1,10,0
15,2,1,9,0
15,2,1,8,0
15,2,1,7,0
15,2,1,6,0
15,2,1,5,0
15,2,1,4,0
15,2,1,3,0
15,2,1,2,0
15,2,1,1,0
15,2,2,12,0
15,2,2,11,0
15,2,2,10,0
15,2,2,9,0
15,2,2,8,0
15,2,2,7,0
15,2,2,6,0
15,2,2,5,0
15,2,2,4,0
15,2,2,3,0
15,2,2,2,0
15,2,2,1,0
15,2,3,12,0
15,2,3,11,0
15,2,3,10,0
15,2,3,9,0
15,2,3,8,0
15,2,3,7,0
15,2,3,6,0
15,2,3,5,0
15,2,3,4,0
15,2,3,3,0
15,2,3,2,0
15,2,3,1,0
15,2,4,12,0
15,2,4,11,0
15,2,4,10,0
15,2,4,9,0
15,2,4,8,0
15,2,4,7,0
15,2,4,6,0
15,2,4,5,0
15,2,4,4,0
15,2,4,3,0
15,2,4,2,0
15,2,4,1,0
15,2,5,12,0
15,2,5,11,0
15,2,5,10,0
15,2,5,9,0
15,2,5,8,0
15,2,5,7,0
15,2,5,6,0
15,2,5,5,0
15,2,5,4,0
15,2,5,3,0
15,2,5,2,0
15,2,5,1,0
15,2,6,12,0
15,2,6,11,0
15,2,6,10,0
15,2,6,9,0
15,2,6,8,0
15,2,6,7,0
15,2,6,6,0
15,2,6,5,0
15,2,6,4,0
15,2,6,3,0
15,2,6,2,0
15,2,6,1,0
20,2,1,12,0
20,2,1,11,0
20,2,1,10,0
20,2,1,9,0
20,2,1,8,0
20,2,1,7,0
20,2,1,6,0
20,2,1,5,0
20,2,1,4,0
20,2,1,3,0
20,2,1,2,0
20,2,1,1,0
20,2,2,12,0
20,2,2,11,0
20,2,2,10,0
20,2,2,9,0
20,2,2,8,0
20,2,2,7,0
20,2,2,6,0
20,2,2,5,0
20,2,2,4,0
20,2,2,3,0
20,2,2,2,0
20,2,2,1,0
20,2,3,12,0
20,2,3,11,0
20,2,3,10,0
20,2,3,9,0
20,2,3,8,0
20,2,3,7,0
20,2,3,6,0
20,2,3,5,0
20,2,3,4,-
20,2,3,3,0
20,2,3,2,0
20,2,3,1,0
20,2,4,12,0
20,2,4,11,0
20,2,4,10,0
20,2,4,9,0
20,2,4,8,0
20,2,4,7,0
20,2,4,6,0
20,2,4,5,0
20,2,4,4,0
20,2,4,3,0
20,2,4,2,0
20,2,4,1,0
20,2,5,12,0
20,2,5,11,0
20,2,5,10,0
20,2,5,9,0
20,2,5,8,0
20,2,5,7,0
20,2,5,6,0
20,2,5,5,0
20,2,5,4,0
20,2,5,3,0
20,2,5,2,0
20,2,5,1,0
20,2,6,12,0
20,2,6,11,0
20,2,6,10,0
20,2,6,9,0
20,2,6,8,-
20,2,6,7,0
20,2,6,6,0
20,2,6,5,0
20,2,6,4,-
20,2,6,3,0
20,2,6,2,0
20,2,6,1,0
25,2,1,12,0
25,2,1,11,-
25,2,1,10,-
25,2,1,9,0
25,2,1,8,0
25,2,1,7,-
25,2,1,6,0
25,2,1,5,0
25,2,1,4,0
25,2,1,3,0
25,2,1,2,0
25,2,1,1,-
25,2,2,12,0
25,2,2,11,0
25,2,2,10,0
25,2,2,9,0
25,2,2,8,0
25,2,2,7,0
25,2,2,6,0
25,2,2,5,0
25,2,2,4,0
25,2,2,3,0
25,2,2,2,0
25,2,2,1,-
25,2,3,12,1
25,2,3,11,0
25,2,3,10,0
25,2,3,9,0
25,2,3,8,0
25,2,3,7,0
25,2,3,6,0
25,2,3,5,0
25,2,3,4,0
25,2,3,3,0
25,2,3,2,0
25,2,3,1,1
25,2,4,12,0
25,2,4,11,0
25,2,4,10,-
25,2,4,9,0
25,2,4,8,-
25,2,4,7,0
25,2,4,6,0
25,2,4,5,0
25,2,4,4,-
25,2,4,3,0
25,2,4,2,0
25,2,4,1,0
25,2,5,12,0
25,2,5,11,0
25,2,5,10,0
25,2,5,9,0
25,2,5,8,0
25,2,5,7,0
25,2,5,6,0
25,2,5,5,0
25,2,5,4,0
25,2,5,3,0
25,2,5,2,0
25,2,5,1,0
25,2,6,12,0
25,2,6,11,0
25,2,6,10,0
25,2,6,9,0
25,2,6,8,0
25,2,6,7,0
25,2,6,6,0
